genotype,treatment,number,day,epicotyl,,internode1,,internode2,,internode3,,petiole1,,petiole2,,petiole3,,petiole4,
tie1,0,4,21,27.97,5/14/14 10:43,2.94,5/14/14 10:43,1.76,5/14/14 10:43,0,5/14/14 10:43,15.52,5/14/14 10:43,13.3,5/14/14 10:44,0,,0,
M82,0,8,21,9.74,5/14/14 10:45,0.96,5/14/14 10:45,0,5/14/14 10:45,0,5/14/14 10:45,10.58,5/14/14 10:45,1.49,5/14/14 10:46,0,,0,
M82,0,1,21,8.14,5/14/14 10:47,1.35,5/14/14 10:47,0,5/14/14 10:47,0,5/14/14 10:47,10.86,5/14/14 10:48,1.84,5/14/14 10:48,0,,0,
M82,0,7,21,2.62,5/14/14 10:49,0.75,5/14/14 10:49,0,5/14/14 10:49,0,5/14/14 10:49,9.41,5/14/14 10:49,1.25,5/14/14 10:50,0,,0,
M82,0,6,21,8.05,5/14/14 10:50,0.55,5/14/14 10:51,0,5/14/14 10:51,0,5/14/14 10:51,8.28,5/14/14 10:51,1.64,5/14/14 10:51,0,,0,
tie1,0,7,21,9.96,5/14/14 10:52,1.34,5/14/14 10:52,0,5/14/14 10:53,0,5/14/14 10:53,9.54,5/14/14 10:53,1.46,5/14/14 10:54,0,,0,
tie1,0,5,21,18.38,5/14/14 10:55,8.12,5/14/14 10:55,3.85,5/14/14 10:55,0,5/14/14 10:55,16.26,5/14/14 10:56,14.68,5/14/14 10:56,3.86,5/14/14 10:56,1.29,5/14/14 10:56
tie1,0,8,21,17.5,5/14/14 10:57,2.98,5/14/14 10:57,0.47,5/14/14 10:57,0,5/14/14 10:57,12.73,5/14/14 10:58,6.5,5/14/14 10:58,0,5/14/14 10:58,0,
M82,10,2,21,9.39,5/14/14 11:00,6.47,5/14/14 11:00,2.44,5/14/14 11:01,0,5/14/14 11:01,19.34,5/14/14 11:01,7.56,5/14/14 11:01,2.32,5/14/14 11:01,0,
M82,10,4,21,13.7,5/14/14 11:02,3.27,5/14/14 11:03,0.47,5/14/14 11:03,0,5/14/14 11:03,20.34,5/14/14 11:03,3.77,5/14/14 11:03,0.77,5/14/14 11:03,0,
M82,10,1,21,12.33,5/14/14 11:04,2.75,5/14/14 11:04,0,5/14/14 11:05,0,5/14/14 11:05,18.53,5/14/14 11:05,2.56,5/14/14 11:05,0,,0,
tie1,10,7,21,22.61,5/14/14 11:06,4.89,5/14/14 11:06,0.76,5/14/14 11:07,0,5/14/14 11:07,10.5,5/14/14 11:07,5.17,5/14/14 11:07,0.9,5/14/14 11:07,0,
tie1,10,5,21,24.98,5/14/14 11:08,3.37,5/14/14 11:08,1.07,5/14/14 11:09,0,5/14/14 11:09,15.58,5/14/14 11:09,8,5/14/14 11:09,0.46,5/14/14 11:10,0,
tie1,10,6,21,20.81,5/14/14 11:10,3.74,5/14/14 11:11,0.73,5/14/14 11:11,0,5/14/14 11:11,17.15,5/14/14 11:11,2.76,5/14/14 11:11,0,,0,
M82,10,3,21,16.75,5/14/14 11:12,3.28,5/14/14 11:12,2.9,5/14/14 11:12,0,5/14/14 11:12,18.5,5/14/14 11:13,10.25,5/14/14 11:13,1.93,5/14/14 11:13,0,
tie1,10,8,21,28.95,5/14/14 11:14,3.18,5/14/14 11:15,0.64,5/14/14 11:15,0,5/14/14 11:15,11.69,5/14/14 11:15,5.46,5/14/14 11:16,0.94,5/14/14 11:16,0,
tie1,3,6,21,22.92,5/14/14 11:19,3.08,5/14/14 11:19,0.7,5/14/14 11:19,0,5/14/14 11:19,17,5/14/14 11:19,4.15,5/14/14 11:19,1.09,5/14/14 11:20,0,
