genotype,treatment,number,day,epicotyl,,internode1,,internode2,,internode3,,petiole1,,petiole2,,petiole3,,petiole4,
M82,3,3,21,9.28,5/14/14 11:20,1.49,5/14/14 11:21,0.75,5/14/14 11:21,0,5/14/14 11:21,8.72,5/14/14 11:21,5.16,5/14/14 11:21,0.74,5/14/14 11:21,0,
tie1,3,8,21,20.46,5/14/14 11:22,4.36,5/14/14 11:22,0.81,5/14/14 11:22,0,5/14/14 11:22,13.93,5/14/14 11:23,2.34,5/14/14 11:23,1.23,5/14/14 11:23,0,
tie1,3,3,21,18.12,5/14/14 11:24,2.52,5/14/14 11:24,1.39,5/14/14 11:24,0,5/14/14 11:24,12.78,5/14/14 11:25,10.09,5/14/14 11:25,0.75,5/14/14 11:25,0,
tie1,3,4,21,19.87,5/14/14 11:26,2.96,5/14/14 11:26,0.82,5/14/14 11:26,0,5/14/14 11:26,10.24,5/14/14 11:26,7.77,5/14/14 11:27,0.57,5/14/14 11:27,0,
M82,3,8,21,9.2,5/14/14 11:28,1.8,5/14/14 11:28,0.8,5/14/14 11:28,0,5/14/14 11:28,10.26,5/14/14 11:28,1.15,5/14/14 11:29,0,,0,
M82,3,7,21,10.3,5/14/14 11:30,6.32,5/14/14 11:30,2.26,5/14/14 11:30,0,5/14/14 11:30,17.77,5/14/14 11:30,10.34,5/14/14 11:31,1.86,5/14/14 11:31,0.5,5/14/14 11:32
M82,3,4,21,14.35,5/14/14 11:32,1.77,5/14/14 11:32,0,5/14/14 11:33,0,5/14/14 11:33,8.85,5/14/14 11:33,1.24,5/14/14 11:33,0,,0,
tie1,10,1,21,23.5,5/14/14 11:35,7.19,5/14/14 11:37,1.08,5/14/14 11:37,0.6,5/14/14 11:37,13.08,5/14/14 11:37,8.22,5/14/14 11:38,1.09,5/14/14 11:38,0,
M82,10,8,21,16.22,5/14/14 11:39,1.96,5/14/14 11:39,0,5/14/14 11:39,0,5/14/14 11:39,15.48,5/14/14 11:39,1.56,5/14/14 11:40,0.84,5/14/14 11:40,0,
M82,10,7,21,11.96,5/14/14 11:41,2.83,5/14/14 11:41,0.8,5/14/14 11:41,0,5/14/14 11:42,11.05,5/14/14 11:48,4.28,5/14/14 11:49,0,5/14/14 11:49,0,
M82,10,5,21,20.13,5/14/14 11:50,3.03,5/14/14 11:50,1,5/14/14 11:50,0,5/14/14 11:50,12.58,5/14/14 11:51,2.34,5/14/14 11:51,0.79,5/14/14 11:51,0,
M82,10,6,21,12.18,5/14/14 11:52,5.69,5/14/14 11:52,2.25,5/14/14 11:53,0,5/14/14 11:53,16.13,5/14/14 11:53,7.39,5/14/14 11:53,2.7,5/14/14 11:54,0,
tie1,10,4,21,19.8,5/14/14 11:54,8.44,5/14/14 11:55,2.33,5/14/14 11:55,0.81,5/14/14 11:55,13.91,5/14/14 11:55,9.67,5/14/14 11:56,2.66,5/14/14 11:56,0.78,5/14/14 11:56
tie1,10,2,21,24.37,5/14/14 11:57,3.56,5/14/14 11:57,1.36,5/14/14 11:57,0,5/14/14 11:57,13.9,5/14/14 11:57,7.86,5/14/14 11:58,1.35,5/14/14 11:58,0,
tie1,10,3,21,21.94,5/14/14 11:59,2.97,5/14/14 11:59,0.99,5/14/14 11:59,0,5/14/14 11:59,12,5/14/14 11:59,3.85,5/14/14 0:00,0.59,5/14/14 0:00,0,
tie1,0,1,21,22.77,5/14/14 0:03,3.54,5/14/14 0:03,0.98,5/14/14 0:03,0,5/14/14 0:03,14.1,5/14/14 0:03,6.54,5/14/14 0:04,0,,0,
M82,0,2,21,9.87,5/14/14 0:05,1.54,5/14/14 0:05,0,5/14/14 0:05,0,5/14/14 0:05,16.41,5/14/14 0:05,4.27,5/14/14 0:06,0,,0,
tie1,0,3,21,14.2,5/14/14 0:06,1.95,5/14/14 0:06,0,5/14/14 0:06,0,5/14/14 0:06,11.91,5/14/14 0:07,4.69,5/14/14 0:07,0,,0,
M82,0,5,21,13.33,5/14/14 0:08,0.95,5/14/14 0:08,0,5/14/14 0:08,0,5/14/14 0:08,15.72,5/14/14 0:08,11.25,5/14/14 0:08,0.8,5/14/14 0:09,0,
M82,0,4,21,6.77,5/14/14 0:09,0,5/14/14 0:09,0,5/14/14 0:09,0,5/14/14 0:09,13.02,5/14/14 0:10,0.9,5/14/14 0:10,0,,0,
tie1,0,6,21,23.02,5/14/14 0:10,6.08,5/14/14 0:11,1.25,5/14/14 0:11,0,5/14/14 0:11,16.81,5/14/14 0:11,6.86,5/14/14 0:11,0.99,5/14/14 0:11,0,
M82,0,3,21,7.16,5/14/14 0:12,4.35,5/14/14 0:12,0,5/14/14 0:12,0,5/14/14 0:12,17.08,5/14/14 0:13,5.83,5/14/14 0:13,2.41,5/14/14 0:13,0,
tie1,0,2,21,23.32,5/14/14 0:14,2.59,5/14/14 0:14,0,5/14/14 0:14,0,5/14/14 0:14,11.85,5/14/14 0:14,7.59,5/14/14 0:15,0,,0,
M82,3,2,21,15.96,5/14/14 0:16,2.02,5/14/14 0:16,0.7,5/14/14 0:16,0,5/14/14 0:16,11.6,5/14/14 0:16,2.23,5/14/14 0:17,0,,0,
M82,3,5,21,9.75,5/14/14 0:18,2.39,5/14/14 0:18,1.18,5/14/14 0:18,0,5/14/14 0:18,9.1,5/14/14 0:19,9.82,5/14/14 0:19,1.38,5/14/14 0:19,0,
tie1,3,5,21,23.83,5/14/14 0:20,2.62,5/14/14 0:20,0.59,5/14/14 0:20,0,5/14/14 0:20,14.89,5/14/14 0:20,3.96,5/14/14 0:21,0.66,5/14/14 0:21,0,
tie1,3,2,21,8.43,5/14/14 0:22,1,5/14/14 0:22,0,5/14/14 0:22,0,5/14/14 0:22,8.41,5/14/14 0:22,1.56,5/14/14 0:23,0,,0,
M82,3,1,21,11.75,5/14/14 0:23,3.88,5/14/14 0:24,2.3,5/14/14 0:24,0,5/14/14 0:24,11.21,5/14/14 0:24,11.45,5/14/14 0:25,1.81,5/14/14 0:25,0,
tie1,3,7,21,18.29,5/14/14 0:26,4.99,5/14/14 0:26,0,5/14/14 0:26,0,5/14/14 0:26,11.9,5/14/14 0:26,8.13,5/14/14 0:27,0,,0,
M82,3,6,21,18.19,5/14/14 0:27,5.5,5/14/14 0:27,0.91,5/14/14 0:28,0,5/14/14 0:28,20.05,5/14/14 0:28,6.51,5/14/14 0:29,0.97,5/14/14 0:29,0,
tie1,10,7,28,45.47,5/21/14 9:41,21.24,5/21/14 9:41,7.49,5/21/14 9:41,2.53,5/21/14 9:42,24.42,5/21/14 9:42,19.34,5/21/14 9:42,6.94,5/21/14 9:42,1.68,5/21/14 9:43
M82,10,1,28,23.33,5/21/14 9:44,13.76,5/21/14 9:44,6.98,5/21/14 9:44,1.91,5/21/14 9:44,24.47,5/21/14 9:45,13.36,5/21/14 9:45,5.84,5/21/14 9:45,1.23,5/21/14 9:45
M82,10,4,28,26.86,5/21/14 9:46,17.14,5/21/14 9:46,6.69,5/21/14 9:46,3.76,5/21/14 9:46,43.6,5/21/14 9:47,19.84,5/21/14 9:47,10.92,5/21/14 9:47,3.88,5/21/14 9:47
M82,10,2,28,14.91,5/21/14 9:48,16.28,5/21/14 9:48,12.65,5/21/14 9:48,6.42,5/21/14 9:48,38.8,5/21/14 9:49,23.53,5/21/14 9:49,14.6,5/21/14 9:49,13.92,5/21/14 9:50
tie1,10,5,28,44.99,5/21/14 9:50,18.51,5/21/14 9:51,9.7,5/21/14 9:51,2.31,5/21/14 9:51,33.33,5/21/14 9:51,27.3,5/21/14 9:51,8.51,5/21/14 9:51,3.42,5/21/14 9:52
tie1,10,6,28,43.86,5/21/14 9:53,24.56,5/21/14 9:53,8.01,5/21/14 9:53,1.96,5/21/14 9:53,36.96,5/21/14 9:54,15.16,5/21/14 9:54,6.66,5/21/14 9:54,2.28,5/21/14 9:54
M82,10,3,28,26.29,5/21/14 9:55,10.7,5/21/14 9:55,18.66,5/21/14 9:56,5.54,5/21/14 9:56,41.71,5/21/14 9:56,29.9,5/21/14 9:56,18.11,5/21/14 9:57,9.49,5/21/14 9:57
tie1,10,1,28,42.85,5/21/14 10:00,21.95,5/21/14 10:00,13.41,5/21/14 10:00,5.21,5/21/14 10:00,28.47,5/21/14 10:01,24.26,5/21/14 10:01,13.92,5/21/14 10:01,3.81,5/21/14 10:01
M82,10,8,28,30.2,5/21/14 10:03,12.12,5/21/14 10:04,4.16,5/21/14 10:04,2.68,5/21/14 10:04,23.87,5/21/14 10:04,17.11,5/21/14 10:04,8.56,5/21/14 10:05,2.74,5/21/14 10:05
M82,10,7,28,25.16,5/21/14 10:06,15.75,5/21/14 10:06,6.74,5/21/14 10:06,2.47,5/21/14 10:06,26.15,5/21/14 10:06,21.91,5/21/14 10:07,7.48,5/21/14 10:07,2.33,5/21/14 10:07
M82,10,5,28,35.54,5/21/14 10:08,15.36,5/21/14 10:08,6.6,5/21/14 10:08,3.25,5/21/14 10:08,27.99,5/21/14 10:09,17.22,5/21/14 10:09,8.03,5/21/14 10:09,2.04,5/21/14 10:09
M82,10,6,28,18.16,5/21/14 10:10,13.01,5/21/14 10:10,9.72,5/21/14 10:11,7.66,5/21/14 10:11,33,5/21/14 10:11,22.57,5/21/14 10:11,17.55,5/21/14 10:12,15.64,5/21/14 10:12
tie1,10,4,28,34.51,5/21/14 10:15,21.5,5/21/14 10:15,13.29,5/21/14 10:15,11.82,5/21/14 10:16,29.34,5/21/14 10:16,27.43,5/21/14 10:17,18.37,5/21/14 10:17,13.85,5/21/14 10:17
tie1,10,2,28,43.32,5/21/14 10:18,12.05,5/21/14 10:18,11.04,5/21/14 10:19,0,,25.07,5/21/14 10:19,22.49,5/21/14 10:19,12.99,5/21/14 10:20,10.52,5/21/14 10:20
tie1,10,3,28,42.33,5/21/14 10:21,13.71,5/21/14 10:21,8.12,5/21/14 10:21,2,5/21/14 10:21,24.57,5/21/14 10:21,17.33,5/21/14 10:22,6.42,5/21/14 10:22,1.55,5/21/14 10:22
M82,3,2,28,26.64,5/21/14 10:26,12.78,5/21/14 10:26,5.42,5/21/14 10:26,1.39,5/21/14 10:26,26.47,5/21/14 10:27,13.13,5/21/14 10:27,5.27,5/21/14 10:27,0.83,5/21/14 10:28
M82,3,5,28,17.79,5/21/14 10:29,8.13,5/21/14 10:29,7.44,5/21/14 10:29,2.54,5/21/14 10:29,25.67,5/21/14 10:30,17.09,5/21/14 10:30,14.24,5/21/14 10:30,12.27,5/21/14 10:30
tie1,3,5,28,39.71,5/21/14 10:31,12.72,5/21/14 10:32,7.46,5/21/14 10:32,1.58,5/21/14 10:32,33.65,5/21/14 10:32,15.93,5/21/14 10:33,8.83,5/21/14 10:33,3.13,5/21/14 10:33
tie1,3,2,28,19.72,5/21/14 10:34,9.44,5/21/14 10:34,2.08,5/21/14 10:35,0,5/21/14 10:35,19.9,5/21/14 10:35,14.41,5/21/14 10:35,2.05,5/21/14 10:36,0,5/21/14 10:36
M82,3,1,28,17.39,5/21/14 10:36,11.67,5/21/14 10:37,7.38,5/21/14 10:37,4.05,5/21/14 10:37,26.91,5/21/14 10:37,29.71,5/21/14 10:38,14.37,5/21/14 10:38,12.14,5/21/14 10:38
tie1,3,7,28,31.23,5/21/14 10:39,19.08,5/21/14 10:39,9.01,5/21/14 10:39,3.93,5/21/14 10:40,26.52,5/21/14 10:40,24.93,5/21/14 10:40,11.23,5/21/14 10:40,4.89,5/21/14 10:40
M82,3,6,28,26.48,5/21/14 10:43,20.22,5/21/14 10:43,7.68,5/21/14 10:44,3.23,5/21/14 10:44,40.49,5/21/14 10:44,20.95,5/21/14 10:44,13.86,5/21/14 10:45,8.19,5/21/14 10:45
tie1,0,2,28,38.84,5/21/14 10:46,11.78,5/21/14 10:47,5.11,5/21/14 10:47,0.81,5/21/14 10:47,25.49,5/21/14 10:47,21.68,5/21/14 10:47,5.97,5/21/14 10:48,1.21,5/21/14 10:48
M82,0,3,28,12.63,5/21/14 10:49,15.72,5/21/14 10:49,6.44,5/21/14 10:50,2.71,5/21/14 10:50,33.91,5/21/14 10:50,18.49,5/21/14 10:50,15.1,5/21/14 10:50,8.52,5/21/14 10:51
tie1,0,6,28,40.62,5/21/14 10:52,23.75,5/21/14 10:52,14.09,5/21/14 10:53,2.44,5/21/14 10:53,34.17,5/21/14 10:53,23.45,5/21/14 10:53,12.67,5/21/14 10:54,3.15,5/21/14 10:54
M82,0,4,28,16.98,5/21/14 10:55,6.14,5/21/14 10:55,0.72,5/21/14 10:55,0,5/21/14 10:55,29.69,5/21/14 10:55,10.06,5/21/14 10:55,1.79,5/21/14 10:56,0,5/21/14 10:56
M82,0,5,28,25.61,5/21/14 10:58,2.8,5/21/14 10:58,7.49,5/21/14 10:59,1.4,5/21/14 10:59,34.26,5/21/14 10:59,27.26,5/21/14 10:59,11.56,5/21/14 10:59,4.22,5/21/14 11:00
tie1,0,3,28,27.08,5/21/14 11:01,13.14,5/21/14 11:02,2.88,5/21/14 11:02,0.07,5/21/14 11:02,25.2,5/21/14 11:02,17.8,5/21/14 11:02,2.55,5/21/14 11:02,1.24,5/21/14 11:03
M82,0,2,28,20.64,5/21/14 11:05,10.03,5/21/14 11:05,3.51,5/21/14 11:06,0,5/21/14 11:06,35.3,5/21/14 11:06,18.05,5/21/14 11:06,3.09,5/21/14 11:07,0,5/21/14 11:07
tie1,0,1,28,33.77,5/21/14 11:08,12.67,5/21/14 11:08,7.34,5/21/14 11:08,0,5/21/14 11:08,27.68,5/21/14 11:09,17.26,5/21/14 11:09,5.44,5/21/14 11:09,0.59,5/21/14 11:09
tie1,3,6,28,40.94,5/21/14 11:13,16.77,5/21/14 11:13,7.54,5/21/14 11:14,2.53,5/21/14 11:14,36.69,5/21/14 11:14,16.6,5/21/14 11:14,10.85,5/21/14 11:14,2.79,5/21/14 11:15
M82,3,3,28,17.95,5/21/14 11:15,7.04,5/21/14 11:16,7.74,5/21/14 11:16,1.81,5/21/14 11:16,23.83,5/21/14 11:16,20.05,5/21/14 11:16,9.05,5/21/14 11:17,3.42,5/21/14 11:17
tie1,3,8,28,34.18,5/21/14 11:17,22.41,5/21/14 11:17,7.73,5/21/14 11:18,2.27,5/21/14 11:18,31.97,5/21/14 11:18,13.57,5/21/14 11:18,8.74,5/21/14 11:18,1.94,5/21/14 11:19
tie1,3,3,28,31.02,5/21/14 11:19,9.51,5/21/14 11:19,13.74,5/21/14 11:20,3.46,5/21/14 11:20,31.57,5/21/14 11:20,29.01,5/21/14 11:21,10.35,5/21/14 11:21,4.83,5/21/14 11:21
tie1,3,4,28,33.57,5/21/14 11:22,11.62,5/21/14 11:22,6.98,5/21/14 11:22,1.56,5/21/14 11:22,23.55,5/21/14 11:22,21.42,5/21/14 11:23,6.07,5/21/14 11:23,2.01,5/21/14 11:23
M82,3,8,28,22.57,5/21/14 11:24,9.51,5/21/14 11:24,2.89,5/21/14 11:24,0.84,5/21/14 11:24,27.25,5/21/14 11:24,11.49,5/21/14 11:25,3.83,5/21/14 11:25,1.54,5/21/14 11:25
M82,3,7,28,13.41,5/21/14 11:26,17.53,5/21/14 11:26,8.94,5/21/14 11:26,5.07,5/21/14 11:27,34.31,5/21/14 11:27,28.76,5/21/14 11:27,15.4,5/21/14 11:28,14.33,5/21/14 11:28
M82,3,4,28,29.77,5/21/14 11:29,10.44,5/21/14 11:29,3.16,5/21/14 11:29,0.85,5/21/14 11:29,23.55,5/21/14 11:29,12.02,5/21/14 11:29,5.33,5/21/14 11:30,1.63,5/21/14 11:30
tie1,0,8,28,31.46,5/21/14 11:31,16.19,5/21/14 11:31,5.05,5/21/14 11:31,0,5/21/14 11:31,27.38,5/21/14 11:32,23.37,5/21/14 11:32,4.59,5/21/14 11:33,1.68,5/21/14 11:33
tie1,0,5,28,24.87,5/21/14 11:33,18.27,5/21/14 11:34,23.45,5/21/14 11:34,7.59,5/21/14 11:34,31.46,5/21/14 11:34,37.17,5/21/14 11:35,19.89,5/21/14 11:35,17.2,5/21/14 11:35
tie1,0,7,28,21.92,5/21/14 11:36,10.25,5/21/14 11:36,2.14,5/21/14 11:36,0,5/21/14 11:36,21.25,5/21/14 11:36,15.62,5/21/14 11:36,1.94,5/21/14 11:37,0,5/21/14 11:37
M82,0,6,28,18.71,5/21/14 11:38,7.57,5/21/14 11:38,1.5,5/21/14 11:38,0,5/21/14 11:38,19.07,5/21/14 11:38,11.82,5/21/14 11:38,1.53,5/21/14 11:39,0,5/21/14 11:39
M82,0,7,28,11.88,5/21/14 11:40,5.14,5/21/14 11:40,1.29,5/21/14 11:40,0,5/21/14 11:40,24,5/21/14 11:40,8.57,5/21/14 11:40,1.26,5/21/14 11:41,0,5/21/14 11:41
M82,0,1,28,19.17,5/21/14 11:41,10.51,5/21/14 11:41,1.78,5/21/14 11:42,0,5/21/14 11:42,25.43,5/21/14 11:42,10.63,5/21/14 11:42,1.58,5/21/14 11:43,0,5/21/14 11:43
M82,0,8,28,20.8,5/21/14 11:43,7.06,5/21/14 11:44,0.94,5/21/14 11:44,0,5/21/14 11:44,27.01,5/21/14 11:44,12.13,5/21/14 11:44,1.61,5/21/14 11:44,0,5/21/14 11:44
tie1,0,4,28,47,5/21/14 11:45,12.28,5/21/14 11:45,12.57,5/21/14 11:45,2.32,5/21/14 11:45,29.01,5/21/14 11:46,32.1,5/21/14 11:46,10.84,5/21/14 11:46,2.29,5/21/14 11:47
tie1,0,2,35,44.71,5/28/14 10:34,21.08,5/28/14 10:34,35.38,5/28/14 10:34,14.07,5/28/14 10:34,41.32,5/28/14 10:35,49.17,5/28/14 10:35,28.84,5/28/14 10:35,19.33,5/28/14 10:35
M82,0,3,35,12.47,5/28/14 10:37,20.46,5/28/14 10:38,12.6,5/28/14 10:38,8.25,5/28/14 10:38,47.98,5/28/14 10:38,33.83,5/28/14 10:39,34.3,5/28/14 10:39,27.96,5/28/14 10:39
tie1,0,6,35,43.36,5/28/14 10:40,35.56,5/28/14 10:41,39.44,5/28/14 10:41,20.23,5/28/14 10:41,49.61,5/28/14 10:42,48.52,5/28/14 10:43,40.17,5/28/14 10:43,28.56,5/28/14 10:43
M82,0,4,35,23.34,5/28/14 10:44,18.28,5/28/14 10:44,7.01,5/28/14 10:44,1.74,5/28/14 10:44,34.22,5/28/14 10:45,27.51,5/28/14 10:45,18.59,5/28/14 10:45,3.47,5/28/14 10:45
M82,0,5,35,31.3,5/28/14 10:46,4.54,5/28/14 10:46,17.37,5/28/14 10:46,9.48,5/28/14 10:47,50.16,5/28/14 10:47,40.99,5/28/14 10:47,31.29,5/28/14 10:47,29.19,5/28/14 10:48
tie1,0,3,35,34.52,5/28/14 10:49,23.63,5/28/14 10:49,19.25,5/28/14 10:49,6.62,5/28/14 10:49,38.06,5/28/14 10:50,36.62,5/28/14 10:50,24.13,5/28/14 10:50,14.61,5/28/14 10:50
M82,0,2,35,26.69,5/28/14 10:51,20.77,5/28/14 10:51,15.2,5/28/14 10:51,6.11,5/28/14 10:52,59.56,5/28/14 10:52,39.62,5/28/14 10:52,26.17,5/28/14 10:52,9.52,5/28/14 10:53
tie1,0,1,35,38.41,5/28/14 10:55,24.23,5/28/14 10:55,36.32,5/28/14 10:55,13.8,5/28/14 10:55,44.65,5/28/14 10:55,38.59,5/28/14 10:56,30.6,5/28/14 10:56,21.92,5/28/14 10:56
tie1,10,1,35,46.91,5/28/14 10:59,34.18,5/28/14 10:59,29.32,5/28/14 10:59,22.5,5/28/14 10:59,42.9,5/28/14 11:00,51.21,5/28/14 11:00,37.87,5/28/14 11:00,25.7,5/28/14 11:00
M82,10,8,35,37.9,5/28/14 11:01,20.9,5/28/14 11:01,10.64,5/28/14 11:02,13.44,5/28/14 11:02,44.09,5/28/14 11:02,42.52,5/28/14 11:02,30.89,5/28/14 11:02,27.17,5/28/14 11:03
M82,10,7,35,30.95,5/28/14 11:03,28.17,5/28/14 11:04,18.51,5/28/14 11:04,11.79,5/28/14 11:04,49.31,5/28/14 11:04,51.4,5/28/14 11:05,30.94,5/28/14 11:05,23.81,5/28/14 11:05
M82,10,5,35,42.51,5/28/14 11:06,25.69,5/28/14 11:06,15.3,5/28/14 11:06,14.19,5/28/14 11:06,48.01,5/28/14 11:07,41,5/28/14 11:07,29.45,5/28/14 11:07,19.78,5/28/14 11:08
M82,10,6,35,21.12,5/28/14 11:09,17.88,5/28/14 11:09,14.32,5/28/14 11:09,14.7,5/28/14 11:09,44.74,5/28/14 11:10,40.11,5/28/14 11:10,36.76,5/28/14 11:10,36.18,5/28/14 11:11
tie1,10,4,35,37.52,5/28/14 11:11,29.96,5/28/14 11:12,22.53,5/28/14 11:12,23.24,5/28/14 11:12,42.36,5/28/14 11:12,49.17,5/28/14 11:13,40.68,5/28/14 11:13,36.83,5/28/14 11:13
tie1,10,2,35,50.82,5/28/14 11:14,18.96,5/28/14 11:14,25.53,5/28/14 11:15,3.81,5/28/14 11:15,48.8,5/28/14 11:15,46.87,5/28/14 11:15,40.05,5/28/14 11:15,34.18,5/28/14 11:16
tie1,10,3,35,50.23,5/28/14 11:16,25.8,5/28/14 11:17,29.03,5/28/14 11:17,16.69,5/28/14 11:17,42.05,5/28/14 11:17,43.21,5/28/14 11:18,27.31,5/28/14 11:18,20.17,5/28/14 11:18
tie1,0,4,35,54.41,5/28/14 11:28,19.99,5/28/14 11:28,34.42,5/28/14 11:29,25.69,5/28/14 11:29,44.69,5/28/14 11:29,56.44,5/28/14 11:29,32.83,5/28/14 11:30,23.95,5/28/14 11:31
M82,0,8,35,26.9,5/28/14 11:32,20.81,5/28/14 11:32,8.89,5/28/14 11:32,3.65,5/28/14 11:33,48.34,5/28/14 11:33,33.23,5/28/14 11:33,21.8,5/28/14 11:33,5.85,5/28/14 11:34
M82,0,1,35,23.1,5/28/14 11:35,22.27,5/28/14 11:35,11.62,5/28/14 11:35,4.35,5/28/14 11:35,41.01,5/28/14 11:36,26.03,5/28/14 11:36,23.4,5/28/14 11:36,8.17,5/28/14 11:36
M82,0,7,35,17.23,5/28/14 11:37,16.99,5/28/14 11:37,8.44,5/28/14 11:37,1.84,5/28/14 11:38,42.62,5/28/14 11:38,24.48,5/28/14 11:38,15.09,5/28/14 11:38,4.19,5/28/14 11:38
M82,0,6,35,22.6,5/28/14 11:39,15.38,5/28/14 11:39,9.59,5/28/14 11:40,3.15,5/28/14 11:40,30.01,5/28/14 11:40,28.65,5/28/14 11:40,18.43,5/28/14 11:40,8.39,5/28/14 11:41
tie1,0,7,35,27.77,5/28/14 11:42,25.22,5/28/14 11:42,18.43,5/28/14 11:42,6.15,5/28/14 11:43,36.61,5/28/14 11:43,26.59,5/28/14 11:43,22.07,5/28/14 11:43,5.88,5/28/14 11:44
tie1,0,5,35,27.13,5/28/14 11:44,23.06,5/28/14 11:44,33.34,5/28/14 11:45,17.7,5/28/14 11:45,43.96,5/28/14 11:45,60.91,5/28/14 11:45,44.46,5/28/14 11:45,42.69,5/28/14 11:46
tie1,0,8,35,37.61,5/28/14 11:46,28.83,5/28/14 11:47,29.18,5/28/14 11:47,11.43,5/28/14 11:47,44.02,5/28/14 11:47,49.08,5/28/14 11:47,22.91,5/28/14 11:48,19.05,5/28/14 11:48
M82,10,3,35,31.39,5/28/14 11:49,15.51,5/28/14 11:50,30.12,5/28/14 11:50,11.75,5/28/14 11:50,64.68,5/28/14 11:50,52.43,5/28/14 11:51,46.04,5/28/14 11:51,35.85,5/28/14 11:51
tie1,10,6,35,52.04,5/28/14 11:52,42.07,5/28/14 11:52,24.31,5/28/14 11:53,17.82,5/28/14 11:53,62.3,5/28/14 11:53,42.17,5/28/14 11:53,30.95,5/28/14 11:53,23.13,5/28/14 11:54
tie1,10,5,35,52.14,5/28/14 11:55,27.39,5/28/14 11:55,22.72,5/28/14 11:55,15.83,5/28/14 11:55,51.82,5/28/14 11:56,56.05,5/28/14 11:56,30.3,5/28/14 11:56,26.28,5/28/14 11:56
tie1,10,7,35,50.82,5/28/14 11:57,35.52,5/28/14 11:57,18.64,5/28/14 11:57,14.88,5/28/14 11:58,36.56,5/28/14 11:58,42.9,5/28/14 11:58,23.36,5/28/14 11:58,19.54,5/28/14 11:59
