p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
T0031.7,T,0.003,28,41.26,11/13/14 0:00,35.82,11/13/14 0:00,27.66,11/13/14 0:00,9.12,11/13/14 0:01,42.55,11/13/14 0:01,34,11/13/14 0:01,16.44,11/13/14 0:01,11.3,11/13/14 0:01,
M0031.8,M,0.003,28,22.96,11/13/14 0:02,12.83,11/13/14 0:02,7.98,11/13/14 0:02,1.97,11/13/14 0:02,42.49,11/13/14 0:03,24.23,11/13/14 0:03,17.63,11/13/14 0:03,6.6,11/13/14 0:03,
M0032.1,M,0.003,28,24.67,11/13/14 0:04,14.76,11/13/14 0:04,6.35,11/13/14 0:04,1.44,11/13/14 0:04,49.33,11/13/14 0:05,23.67,11/13/14 0:05,9.73,11/13/14 0:05,2.61,11/13/14 0:05,
T0032.2,T,0.003,28,46.49,11/13/14 0:06,27.38,11/13/14 0:06,20.91,11/13/14 0:06,5.59,11/13/14 0:06,41.8,11/13/14 0:07,28.29,11/13/14 0:07,18.59,11/13/14 0:07,5.05,11/13/14 0:07,
M0032.3,M,0.003,28,14.54,11/13/14 0:08,15.25,11/13/14 0:08,11.51,11/13/14 0:08,7.46,11/13/14 0:08,39.54,11/13/14 0:08,29.29,11/13/14 0:09,25.71,11/13/14 0:09,20.39,11/13/14 0:09,
T0032.4,T,0.003,28,45.58,11/13/14 0:10,27.19,11/13/14 0:10,21.66,11/13/14 0:10,10.02,11/13/14 0:10,37.07,11/13/14 0:10,42.87,11/13/14 0:11,25.16,11/13/14 0:11,9.76,11/13/14 0:11,
T0032.5,T,0.003,28,43.66,11/13/14 0:12,36.03,11/13/14 0:12,25.45,11/13/14 0:12,10.36,11/13/14 0:12,38.2,11/13/14 0:12,29.02,11/13/14 0:13,14.31,11/13/14 0:13,9.01,11/13/14 0:13,
M0032.6,M,0.003,28,20.28,11/13/14 0:14,15.29,11/13/14 0:14,6.15,11/13/14 0:14,1.67,11/13/14 0:14,41.26,11/13/14 0:14,27,11/13/14 0:15,9.71,11/13/14 0:15,2.13,11/13/14 0:15,
M0032.7,M,0.003,28,13.04,11/13/14 0:15,15.35,11/13/14 0:15,7.07,11/13/14 0:16,5.55,11/13/14 0:16,36.79,11/13/14 0:16,25.01,11/13/14 0:16,20.9,11/13/14 0:16,17.96,11/13/14 0:16,
T0032.8,T,0.003,28,46.81,11/13/14 0:17,23.6,11/13/14 0:17,12.95,11/13/14 0:17,1.26,11/13/14 0:17,34.27,11/13/14 0:18,26.21,11/13/14 0:18,14.79,11/13/14 0:18,2.28,11/13/14 0:18,
M0002.1,M,0,28,18.39,11/13/14 0:19,13.49,11/13/14 0:19,5.91,11/13/14 0:19,0.01,11/13/14 0:19,30.42,11/13/14 0:20,24.53,11/13/14 0:20,5.74,11/13/14 0:20,2.1,11/13/14 0:20,
T0002.2,T,0,28,35.4,11/13/14 0:21,37.25,11/13/14 0:21,23.45,11/13/14 0:21,15.23,11/13/14 0:22,42.44,11/13/14 0:22,34.47,11/13/14 0:22,31.63,11/13/14 0:22,27.09,11/13/14 0:22,
M0002.3,M,0,28,18.69,11/13/14 0:23,10.93,11/13/14 0:23,2.76,11/13/14 0:23,0,11/13/14 0:23,38.71,11/13/14 0:23,17.44,11/13/14 0:24,6.56,11/13/14 0:24,1.56,11/13/14 0:24,
T0002.4,T,0,28,38.05,11/13/14 0:24,31.97,11/13/14 0:25,23.08,11/13/14 0:25,7.93,11/13/14 0:25,42,11/13/14 0:25,31.23,11/13/14 0:25,19.94,11/13/14 0:26,6.48,11/13/14 0:26,
T0002.5,T,0,28,30.01,11/13/14 0:26,24.82,11/13/14 0:26,25.98,11/13/14 0:27,10.23,11/13/14 0:27,34.76,11/13/14 0:27,24.47,11/13/14 0:27,29.37,11/13/14 0:27,18.95,11/13/14 0:27,
M0002.6,M,0,28,7.39,11/13/14 0:28,12.86,11/13/14 0:28,8.64,11/13/14 0:28,4.09,11/13/14 0:28,26.05,11/13/14 0:29,23.8,11/13/14 0:29,13.22,11/13/14 0:29,5.86,11/13/14 0:29,
M0002.7,M,0,28,14.56,11/13/14 0:30,16.86,11/13/14 0:30,5.24,11/13/14 0:30,2.33,11/13/14 0:30,31.48,11/13/14 0:30,22.44,11/13/14 0:30,8.41,11/13/14 0:31,1.45,11/13/14 0:31,
T0002.8,T,0,28,33,11/13/14 0:31,26.96,11/13/14 0:31,23.81,11/13/14 0:31,11.8,11/13/14 0:32,37.02,11/13/14 0:32,41.4,11/13/14 0:32,25.63,11/13/14 0:32,21.85,11/13/14 0:33,
M0102.1,M,0.01,28,23.43,11/13/14 13:13,10.74,11/13/14 13:13,6.64,11/13/14 13:13,2.29,11/13/14 13:13,38.45,11/13/14 13:14,24.82,11/13/14 13:14,14.73,11/13/14 13:14,1.98,11/13/14 13:15,
T0102.2,T,0.01,28,34.37,11/13/14 13:15,28.9,11/13/14 13:15,15.58,11/13/14 13:15,3.91,11/13/14 13:15,36.74,11/13/14 13:16,37.35,11/13/14 13:16,19.67,11/13/14 13:16,7.21,11/13/14 13:16,
M0102.3,M,0.01,28,13.56,11/13/14 13:17,9.1,11/13/14 13:17,9.92,11/13/14 13:17,3.13,11/13/14 13:17,32.03,11/13/14 13:18,25.99,11/13/14 13:18,22.75,11/13/14 13:18,17.66,11/13/14 13:18,
T0102.4,T,0.01,28,36.27,11/13/14 13:19,38.65,11/13/14 13:19,21.36,11/13/14 13:19,11.43,11/13/14 13:19,40.08,11/13/14 13:19,31.89,11/13/14 13:20,23.83,11/13/14 13:20,8.74,11/13/14 13:20,
T0102.5,T,0.01,28,44.53,11/13/14 13:20,28.73,11/13/14 13:21,8.66,11/13/14 13:21,2.55,11/13/14 13:21,40.12,11/13/14 13:21,24.19,11/13/14 13:22,13.13,11/13/14 13:22,2.37,11/13/14 13:22,
M0102.6,M,0.01,28,23.65,11/13/14 13:22,12.34,11/13/14 13:22,5.75,11/13/14 13:23,1.67,11/13/14 13:23,43.5,11/13/14 13:23,24.27,11/13/14 13:23,10.68,11/13/14 13:24,4.01,11/13/14 13:24,
M0102.7,M,0.01,28,20.02,11/13/14 13:24,13.99,11/13/14 13:24,4.91,11/13/14 13:25,1.79,11/13/14 13:25,35.22,11/13/14 13:25,20.98,11/13/14 13:25,15,11/13/14 13:25,2.33,11/13/14 13:25,
T0102.8,T,0.01,28,29.77,11/13/14 13:26,37.27,11/13/14 13:26,21.47,11/13/14 13:26,15.93,11/13/14 13:26,37.04,11/13/14 13:27,37.97,11/13/14 13:27,32.71,11/13/14 13:27,26.19,11/13/14 13:28,
T0101.1,T,0.01,28,43.55,11/13/14 13:28,24.56,11/13/14 13:29,17.15,11/13/14 13:29,3.76,11/13/14 13:29,32.81,11/13/14 13:29,26.22,11/13/14 13:29,18.79,11/13/14 13:30,4.55,11/13/14 13:30,
M0101.2,M,0.01,28,24.66,11/13/14 13:30,13.96,11/13/14 13:30,5.99,11/13/14 13:30,1.32,11/13/14 13:31,42.99,11/13/14 13:31,19.65,11/13/14 13:31,7.9,11/13/14 13:31,1.73,11/13/14 13:31,
M0101.3,M,0.01,28,10.95,11/13/14 13:32,16.17,11/13/14 13:32,14.93,11/13/14 13:32,5.77,11/13/14 13:32,37.87,11/13/14 13:33,28.28,11/13/14 13:33,25.24,11/13/14 13:33,18.95,11/13/14 13:33,
T0101.4,T,0.01,28,46.23,11/13/14 13:33,33.28,11/13/14 13:34,20.09,11/13/14 13:34,4.42,11/13/14 13:34,51.78,11/13/14 13:34,32.7,11/13/14 13:34,17.29,11/13/14 13:34,2.59,11/13/14 13:35,
M0101.5,M,0.01,28,20.1,11/13/14 13:35,13.89,11/13/14 13:35,5.1,11/13/14 13:35,0.61,11/13/14 13:36,32.66,11/13/14 13:36,24.35,11/13/14 13:36,12.37,11/13/14 13:36,1.74,11/13/14 13:36,
T0101.6,T,0.01,28,46.2,11/13/14 13:37,27.29,11/13/14 13:37,15.81,11/13/14 13:37,5.76,11/13/14 13:37,49.26,11/13/14 13:38,26.2,11/13/14 13:38,23.55,11/13/14 13:38,8.79,11/13/14 13:38,
T0101.7,T,0.01,28,44.07,11/13/14 13:39,30.3,11/13/14 13:39,27.27,11/13/14 13:39,5.45,11/13/14 13:39,45.95,11/13/14 13:40,39.3,11/13/14 13:40,21.46,11/13/14 13:40,9.74,11/13/14 13:40,
M0101.8,M,0.01,28,19.67,11/13/14 13:41,12.95,11/13/14 13:41,4.38,11/13/14 13:41,0.02,11/13/14 13:41,42.36,11/13/14 13:41,25.52,11/13/14 13:42,5.81,11/13/14 13:42,0.01,11/13/14 13:42,
T1001.1,T,0.1,28,22.01,11/13/14 13:43,12.72,11/13/14 13:43,2.14,11/13/14 13:44,0.01,11/13/14 13:44,28.19,11/13/14 13:44,14.46,11/13/14 13:44,4.42,11/13/14 13:44,0,,
M1001.2,M,0.1,28,20.41,11/13/14 13:45,9.48,11/13/14 13:45,3.16,11/13/14 13:45,0,11/13/14 13:45,37.9,11/13/14 13:45,20.48,11/13/14 13:45,4.19,11/13/14 13:45,1.21,11/13/14 13:46,
M1001.3,M,0.1,28,13.04,11/13/14 13:46,14.3,11/13/14 13:46,7.19,11/13/14 13:46,1.37,11/13/14 13:46,36.61,11/13/14 13:47,24.78,11/13/14 13:47,12.33,11/13/14 13:47,1.96,11/13/14 13:47,
T1001.4,T,0.1,28,39.92,11/13/14 13:48,21.42,11/13/14 13:48,26.16,11/13/14 13:48,7.45,11/13/14 13:48,40.04,11/13/14 13:49,32.42,11/13/14 13:49,24.35,11/13/14 13:49,9.91,11/13/14 13:49,
M1001.5,M,0.1,28,14.19,11/13/14 13:49,6.95,11/13/14 13:50,0.76,11/13/14 13:50,0,11/13/14 13:50,30.19,11/13/14 13:50,15.39,11/13/14 13:50,1.26,11/13/14 13:50,0,11/13/14 13:50,
T1001.6,T,0.1,28,34.78,11/13/14 13:51,27.38,11/13/14 13:51,17.61,11/13/14 13:51,5.77,11/13/14 13:51,36.42,11/13/14 13:52,35.2,11/13/14 13:52,22.65,11/13/14 13:52,5.88,11/13/14 13:52,
T1001.7,T,0.1,28,19.64,11/13/14 13:53,9.73,11/13/14 13:53,4.8,11/13/14 13:53,1.52,11/13/14 13:53,35.27,11/13/14 13:53,20.33,11/13/14 13:54,11.85,11/13/14 13:54,1.59,11/13/14 13:54,
M1001.8,M,0.1,28,11.08,11/13/14 13:54,9.7,11/13/14 13:55,9.94,11/13/14 13:55,5.79,11/13/14 13:55,31.16,11/13/14 13:55,36.51,11/13/14 13:55,25.1,11/13/14 13:55,19.89,11/13/14 13:56,
M0302.1,M,0.03,28,18.39,11/13/14 14:02,14.66,11/13/14 14:02,3.94,11/13/14 14:02,0.86,11/13/14 14:02,35.78,11/13/14 14:02,18.75,11/13/14 14:03,10.67,11/13/14 14:03,1.22,11/13/14 14:03,
T0302.2,T,0.03,28,45.93,11/13/14 14:03,24.4,11/13/14 14:04,18.53,11/13/14 14:04,5.22,11/13/14 14:04,39.85,11/13/14 14:04,30.43,11/13/14 14:04,20.94,11/13/14 14:05,5.5,11/13/14 14:05,
M0302.3,M,0.03,28,17.94,11/13/14 14:05,8.11,11/13/14 14:05,2.41,11/13/14 14:06,0.01,11/13/14 14:06,23.13,11/13/14 14:06,20.25,11/13/14 14:06,4.57,11/13/14 14:06,0,11/13/14 14:06,
T0302.4,T,0.03,28,37.22,11/13/14 14:07,32.69,11/13/14 14:08,22.7,11/13/14 14:08,8.88,11/13/14 14:08,27.84,11/13/14 14:08,32.23,11/13/14 14:08,22.97,11/13/14 14:08,10.4,11/13/14 14:09,
T0302.5,T,0.03,28,32.38,11/13/14 14:09,18.29,11/13/14 14:09,7.46,11/13/14 14:10,0.55,11/13/14 14:10,27.61,11/13/14 14:10,16.83,11/13/14 14:10,8.9,11/13/14 14:10,1.33,11/13/14 14:10,
M0302.6,M,0.03,28,20.78,11/13/14 14:11,11.14,11/13/14 14:11,2.06,11/13/14 14:11,0,11/13/14 14:11,45.95,11/13/14 14:11,15.33,11/13/14 14:12,2.89,11/13/14 14:12,0.01,11/13/14 14:12,
M0302.7,M,0.03,28,22.38,11/13/14 14:12,11.14,11/13/14 14:12,3.44,11/13/14 14:13,0.01,11/13/14 14:13,28.64,11/13/14 14:13,21.18,11/13/14 14:13,6.8,11/13/14 14:13,1.03,11/13/14 14:13,
T0302.8,T,0.03,28,33.79,11/13/14 14:14,24.77,11/13/14 14:14,9.83,11/13/14 14:14,1.93,11/13/14 14:14,37.68,11/13/14 14:15,24.18,11/13/14 14:15,13.07,11/13/14 14:15,2.47,11/13/14 14:15,
M1002.1,M,0.1,28,22.62,11/13/14 14:17,13.05,11/13/14 14:17,5.73,11/13/14 14:17,1.08,11/13/14 14:17,35.85,11/13/14 14:17,26.25,11/13/14 14:18,11.48,11/13/14 14:18,1.91,11/13/14 14:18,
M1002.3,M,0.1,28,11.24,11/13/14 14:18,9.47,11/13/14 14:19,7.27,11/13/14 14:19,3.86,11/13/14 14:19,31.62,11/13/14 14:19,24.56,11/13/14 14:19,21.22,11/13/14 14:19,15.54,11/13/14 14:20,
T1002.4,T,0.1,28,32.68,11/13/14 14:20,17.87,11/13/14 14:20,14.65,11/13/14 14:20,2.26,11/13/14 14:20,27.25,11/13/14 14:21,27.74,11/13/14 14:21,17.85,11/13/14 14:21,7.08,11/13/14 14:21,
T1002.5,T,0.1,28,30.79,11/13/14 14:22,17.64,11/13/14 14:22,10.98,11/13/14 14:22,1.81,11/13/14 14:22,34.4,11/13/14 14:22,19.62,11/13/14 14:23,13.12,11/13/14 14:23,4.29,11/13/14 14:23,
M1002.6,M,0.1,28,17.95,11/13/14 14:23,11.04,11/13/14 14:23,2.63,11/13/14 14:24,0,11/13/14 14:24,40.55,11/13/14 14:24,17.81,11/13/14 14:24,4.89,11/13/14 14:24,0.01,11/13/14 14:24,
M1002.7,M,0.1,28,16.31,11/13/14 14:25,8.93,11/13/14 14:25,4.23,11/13/14 14:25,0.01,11/13/14 14:25,37.85,11/13/14 14:25,23.61,11/13/14 14:25,11.21,11/13/14 14:26,1.27,11/13/14 14:26,
T1002.8,T,0.1,28,26.8,11/13/14 14:26,14.35,11/13/14 14:26,6.08,11/13/14 14:26,0,11/13/14 14:27,29.38,11/13/14 14:27,24.81,11/13/14 14:27,10.32,11/13/14 14:27,1.01,11/13/14 14:27,
T0301.1,T,0.03,28,27.41,11/13/14 14:28,24.67,11/13/14 14:28,19.78,11/13/14 14:28,4.68,11/13/14 14:28,35.87,11/13/14 14:29,32.21,11/13/14 14:29,17.65,11/13/14 14:29,1.49,11/13/14 14:29,
M0301.2,M,0.03,28,12.26,11/13/14 14:30,9.37,11/13/14 14:30,9.77,11/13/14 14:30,4.7,11/13/14 14:30,29.03,11/13/14 14:30,29.59,11/13/14 14:30,21.31,11/13/14 14:31,15.51,11/13/14 14:31,
T0301.4,T,0.03,28,42.02,11/13/14 14:32,33.8,11/13/14 14:32,21.86,11/13/14 14:33,6.34,11/13/14 14:33,39.61,11/13/14 14:33,31.01,11/13/14 14:33,21.65,11/13/14 14:33,7.88,11/13/14 14:34,
M0301.5,M,0.03,28,16.56,11/13/14 14:34,11.55,11/13/14 14:34,4.96,11/13/14 14:35,1.81,11/13/14 14:35,27.26,11/13/14 14:35,23.25,11/13/14 14:35,13.12,11/13/14 14:35,4.57,11/13/14 14:35,
T0301.6,T,0.03,28,38.18,11/13/14 14:36,32.07,11/13/14 14:36,17.94,11/13/14 14:36,4.93,11/13/14 14:36,37.68,11/13/14 14:36,33.42,11/13/14 14:36,19.8,11/13/14 14:37,5.19,11/13/14 14:37,
T0301.7,T,0.03,28,41.98,11/13/14 14:37,16.48,11/13/14 14:37,18.04,11/13/14 14:38,4.16,11/13/14 14:38,33.7,11/13/14 14:38,34.95,11/13/14 14:38,18.38,11/13/14 14:38,3.75,11/13/14 14:38,
M0301.8,M,0.03,28,15.29,11/13/14 14:39,14.02,11/13/14 14:39,5.99,11/13/14 14:39,0,11/13/14 14:39,33.43,11/13/14 14:39,22.35,11/13/14 14:39,7.03,11/13/14 14:40,1.41,11/13/14 14:40,
T1002.8,T,0.1,35,32.82,11/20/14 10:43,26.67,11/20/14 10:43,28.04,11/20/14 10:43,11.54,11/20/14 10:44,47.67,11/20/14 10:44,51.24,11/20/14 10:44,31.4,11/20/14 10:44,15.24,11/20/14 10:45,
M1002.7,M,0.1,35,18.41,11/20/14 10:45,17.31,11/20/14 10:46,15.54,11/20/14 10:46,10.05,11/20/14 10:46,59.06,11/20/14 10:46,45.04,11/20/14 10:46,31.62,11/20/14 10:47,17.26,11/20/14 10:47,
M1002.6,M,0.1,35,23.35,11/20/14 10:47,26.58,11/20/14 10:47,17.74,11/20/14 10:48,7.32,11/20/14 10:48,63.06,11/20/14 10:48,38.73,11/20/14 10:48,24.53,11/20/14 10:49,9.92,11/20/14 10:49,
T1002.5,T,0.1,35,37.69,11/20/14 10:49,24.48,11/20/14 10:50,28.24,11/20/14 10:50,16.28,11/20/14 10:50,54.95,11/20/14 10:50,39.83,11/20/14 10:51,37.85,11/20/14 10:51,24.69,11/20/14 10:51,
T1002.4,T,0.1,35,36.92,11/20/14 10:52,28.41,11/20/14 10:52,36.76,11/20/14 10:52,15.6,11/20/14 10:52,45.28,11/20/14 10:52,55.88,11/20/14 10:53,40.24,11/20/14 10:53,29.18,11/20/14 10:53,
M1002.3,M,0.1,35,12.91,11/20/14 10:55,13.01,11/20/14 10:55,13.43,11/20/14 10:55,11.64,11/20/14 10:56,44.17,11/20/14 10:56,42.91,11/20/14 10:56,44.69,11/20/14 10:56,37.56,11/20/14 10:57,
M1002.1,M,0.1,35,26.04,11/20/14 10:57,21.48,11/20/14 10:57,20.89,11/20/14 10:58,10.09,11/20/14 10:58,53.29,11/20/14 10:58,52.69,11/20/14 10:58,37.21,11/20/14 10:58,18.83,11/20/14 10:59,
T0301.1,T,0.03,35,29.5,11/20/14 11:00,30.68,11/20/14 11:00,38.67,11/20/14 11:00,41.73,11/20/14 11:00,50.77,11/20/14 11:01,61.86,11/20/14 11:01,45.56,11/20/14 11:01,21.92,11/20/14 11:01,
M0301.2,M,0.03,35,15.28,11/20/14 11:02,13.6,11/20/14 11:02,17.26,11/20/14 11:02,9.15,11/20/14 11:02,40.45,11/20/14 11:03,47.97,11/20/14 11:03,46.56,11/20/14 11:03,36.03,11/20/14 11:03,
T0301.4,T,0.03,35,45.33,11/20/14 11:05,47.76,11/20/14 11:05,49.45,11/20/14 11:05,31.44,11/20/14 11:05,58.4,11/20/14 11:05,57.85,11/20/14 11:06,58.25,11/20/14 11:06,30.85,11/20/14 11:06,
M0301.5,M,0.03,35,18.92,11/20/14 11:09,17.79,11/20/14 11:09,13.69,11/20/14 11:09,10.02,11/20/14 11:09,44.01,11/20/14 11:10,47.1,11/20/14 11:10,38.01,11/20/14 11:10,22.05,11/20/14 11:10,
T0301.6,T,0.03,35,42.21,11/20/14 11:11,44.36,11/20/14 11:11,44.05,11/20/14 11:11,31.9,11/20/14 11:11,56.28,11/20/14 11:11,69.49,11/20/14 11:12,54.31,11/20/14 11:12,29.4,11/20/14 11:12,
T0301.7,T,0.03,35,47.2,11/20/14 11:13,25.24,11/20/14 11:13,43.94,11/20/14 11:13,34.74,11/20/14 11:13,51.33,11/20/14 11:14,68.26,11/20/14 11:14,47.25,11/20/14 11:14,21.44,11/20/14 11:15,
M0301.8,M,0.03,35,19.39,11/20/14 11:16,24.4,11/20/14 11:16,25.1,11/20/14 11:16,15.59,11/20/14 11:16,52.21,11/20/14 11:16,47.44,11/20/14 11:17,25.1,11/20/14 11:17,22.82,11/20/14 11:17,
M0302.1,M,0.03,35,22.23,11/20/14 11:19,24.29,11/20/14 11:19,18.92,11/20/14 11:20,11.95,11/20/14 11:20,54.36,11/20/14 11:20,41.6,11/20/14 11:20,37.69,11/20/14 11:21,18.78,11/20/14 11:21,
T0302.2,T,0.03,35,51.27,11/20/14 11:21,35.25,11/20/14 11:21,44.3,11/20/14 11:22,37.6,11/20/14 11:22,59.7,11/20/14 11:22,58.23,11/20/14 11:22,54.72,11/20/14 11:23,27.88,11/20/14 11:23,
M0302.3,M,0.03,35,23.44,11/20/14 11:26,20.06,11/20/14 11:26,17.33,11/20/14 11:26,6.54,11/20/14 11:26,40.68,11/20/14 11:26,48.79,11/20/14 11:27,22.12,11/20/14 11:27,14.16,11/20/14 11:27,
T0302.4,T,0.03,35,38.78,11/20/14 11:28,42.31,11/20/14 11:28,40.82,11/20/14 11:28,27.42,11/20/14 11:28,36.74,11/20/14 11:28,56.03,11/20/14 11:28,52.92,11/20/14 11:29,30.99,11/20/14 11:29,
T0302.5,T,0.03,35,38.71,11/20/14 11:29,33.45,11/20/14 11:29,34.39,11/20/14 11:30,15.87,11/20/14 11:30,41.85,11/20/14 11:30,42.08,11/20/14 11:30,36.04,11/20/14 11:30,16.93,11/20/14 11:31,
M0302.6,M,0.03,35,27.23,11/20/14 11:31,23.81,11/20/14 11:31,19.6,11/20/14 11:32,8.12,11/20/14 11:32,74.64,11/20/14 11:32,41.97,11/20/14 11:32,24.21,11/20/14 11:33,16.38,11/20/14 11:33,
M0302.7,M,0.03,35,26.25,11/20/14 11:33,21.11,11/20/14 11:33,17.96,11/20/14 11:34,10.41,11/20/14 11:34,48.5,11/20/14 11:34,45.99,11/20/14 11:34,34.5,11/20/14 11:34,16.01,11/20/14 11:35,
T0302.8,T,0.03,35,40.44,11/20/14 11:35,44.26,11/20/14 11:35,42.81,11/20/14 11:36,22.17,11/20/14 11:36,62.74,11/20/14 11:36,53.15,11/20/14 11:36,47.31,11/20/14 11:37,27.97,11/20/14 11:37,
T1001.1,T,0.1,35,27.27,11/20/14 0:21,24.37,11/20/14 0:22,15.83,11/20/14 0:22,6.32,11/20/14 0:22,46.79,11/20/14 0:23,34.71,11/20/14 0:23,25.7,11/20/14 0:23,7.31,11/20/14 0:23,
M1001.2,M,0.1,35,25.7,11/20/14 0:24,21.8,11/20/14 0:24,19.18,11/20/14 0:24,7.69,11/20/14 0:25,58.94,11/20/14 0:25,46.11,11/20/14 0:25,25.71,11/20/14 0:26,16.25,11/20/14 0:26,
M1001.3,M,0.1,35,14.96,11/20/14 0:27,23.71,11/20/14 0:27,24.35,11/20/14 0:27,11.45,11/20/14 0:28,51.86,11/20/14 0:29,50.94,11/20/14 0:29,39.71,11/20/14 0:29,23.02,11/20/14 0:30,
T1001.4,T,0.1,35,42.57,11/20/14 0:30,28.59,11/20/14 0:30,47.36,11/20/14 0:31,33.53,11/20/14 0:31,63.41,11/20/14 0:31,59.16,11/20/14 0:31,57.83,11/20/14 0:31,36.24,11/20/14 0:32,
M1001.5,M,0.1,35,21.35,11/20/14 0:32,18.14,11/20/14 0:32,10.36,11/20/14 0:32,3.35,11/20/14 0:33,51.56,11/20/14 0:33,34.52,11/20/14 0:33,18.64,11/20/14 0:33,6.32,11/20/14 0:33,
T1001.6,T,0.1,35,37.94,11/20/14 0:34,37.81,11/20/14 0:34,39.58,11/20/14 0:35,34.82,11/20/14 0:35,56.49,11/20/14 0:35,77.29,11/20/14 0:35,53.81,11/20/14 0:36,29.23,11/20/14 0:36,
T1001.7,T,0.1,35,24.94,11/20/14 0:36,20.32,11/20/14 0:37,23.44,11/20/14 0:37,15.39,11/20/14 0:37,57.96,11/20/14 0:37,46.28,11/20/14 0:38,35.68,11/20/14 0:38,19.03,11/20/14 0:38,
M1001.8,M,0.1,35,12.38,11/20/14 0:39,13.88,11/20/14 0:39,16.66,11/20/14 0:39,15.17,11/20/14 0:39,43.21,11/20/14 0:40,58.27,11/20/14 0:40,51.29,11/20/14 0:40,46.25,11/20/14 0:40,
M0102.1,M,0.01,35,26.38,11/20/14 0:44,16.2,11/20/14 0:44,23.04,11/20/14 0:44,21.38,11/20/14 0:44,58.09,11/20/14 0:45,52.55,11/20/14 0:45,39.82,11/20/14 0:45,27.66,11/20/14 0:45,
T0102.2,T,0.01,35,36.4,11/20/14 0:46,40.88,11/20/14 0:46,35.35,11/20/14 0:46,24.9,11/20/14 0:47,48.36,11/20/14 0:47,68.37,11/20/14 0:47,51.62,11/20/14 0:47,26.85,11/20/14 0:48,
M0102.3,M,0.01,35,14.89,11/20/14 0:48,11.86,11/20/14 0:48,14.93,11/20/14 0:49,14,11/20/14 0:49,45.4,11/20/14 0:49,48.73,11/20/14 0:49,50.23,11/20/14 0:50,45.84,11/20/14 0:50,
T0102.4,T,0.01,35,38.19,11/20/14 0:53,47.12,11/20/14 0:53,33.26,11/20/14 0:53,40.56,11/20/14 0:53,53.63,11/20/14 0:53,59.85,11/20/14 0:54,55.06,11/20/14 0:54,30.56,11/20/14 0:54,
T0102.5,T,0.01,35,50.5,11/20/14 0:55,48.64,11/20/14 0:55,38.98,11/20/14 0:55,31.54,11/20/14 0:55,58.66,11/20/14 0:56,57.81,11/20/14 0:56,41.41,11/20/14 0:56,22.09,11/20/14 0:56,
M0102.6,M,0.01,35,26.83,11/20/14 0:57,19.98,11/20/14 0:58,20.62,11/20/14 0:58,21.13,11/20/14 0:58,64.57,11/20/14 0:58,50.76,11/20/14 0:59,31.24,11/20/14 0:59,28.48,11/20/14 0:59,
M0102.7,M,0.01,35,24.72,11/20/14 13:00,22.24,11/20/14 13:00,18.65,11/20/14 13:00,21.66,11/20/14 13:00,56.5,11/20/14 13:01,50.4,11/20/14 13:01,53.84,11/20/14 13:01,31.36,11/20/14 13:02,
T0102.8,T,0.01,35,28.74,11/20/14 13:02,40.85,11/20/14 13:02,27.51,11/20/14 13:03,26.41,11/20/14 13:03,45.07,11/20/14 13:03,58.93,11/20/14 13:03,58.92,11/20/14 13:04,51.69,11/20/14 13:04,
M0101.8,M,0.01,35,23.27,11/20/14 13:06,21.24,11/20/14 13:07,18.65,11/20/14 13:07,9.3,11/20/14 13:07,62.08,11/20/14 13:08,55.46,11/20/14 13:08,24.45,11/20/14 13:08,20.67,11/20/14 13:08,
T0101.7,T,0.01,35,47.76,11/20/14 13:11,40.31,11/20/14 13:12,53.86,11/20/14 13:12,26.99,11/20/14 13:12,68.69,11/20/14 13:12,71.55,11/20/14 13:13,52.03,11/20/14 13:13,35.43,11/20/14 13:13,
T0101.6,T,0.01,35,49.94,11/20/14 13:14,39.77,11/20/14 13:14,35.64,11/20/14 13:14,25.93,11/20/14 13:14,63.26,11/20/14 13:15,56.24,11/20/14 13:15,53.07,11/20/14 13:15,32.95,11/20/14 13:15,
M0101.5,M,0.01,35,24.44,11/20/14 13:16,23.41,11/20/14 13:16,23.13,11/20/14 13:17,15.12,11/20/14 13:17,48.99,11/20/14 13:17,50.01,11/20/14 13:18,39.11,11/20/14 13:18,16.18,11/20/14 13:18,
T0101.4,T,0.01,35,49.6,11/20/14 13:19,47.51,11/20/14 13:19,47.62,11/20/14 13:19,39.09,11/20/14 13:19,74.89,11/20/14 13:20,64.31,11/20/14 13:20,52.51,11/20/14 13:20,24.91,11/20/14 13:20,
M0101.3,M,0.01,35,11.63,11/20/14 13:21,18.58,11/20/14 13:22,19.5,11/20/14 13:22,12.39,11/20/14 13:22,48.94,11/20/14 13:22,47.7,11/20/14 13:22,50.46,11/20/14 13:23,46.62,11/20/14 13:23,
M0101.2,M,0.01,35,27.4,11/20/14 13:24,23.73,11/20/14 13:24,25.01,11/20/14 13:24,17,11/20/14 13:24,62.45,11/20/14 13:24,47.46,11/20/14 13:25,28.57,11/20/14 13:25,22.71,11/20/14 13:25,
T0101.1,T,0.01,35,47.92,11/20/14 13:26,36.4,11/20/14 13:26,44.81,11/20/14 13:26,34.15,11/20/14 13:26,43.47,11/20/14 13:26,58.31,11/20/14 13:27,47.92,11/20/14 13:27,26.95,11/20/14 13:27,
