line,expression,length,line
line2-1,6.773962499,5.37,2
line2-10,4,2.85,2
line2-11,1.474269217,3.88,2
line2-12,0.002050228,30.84,2
line2-14,6.105036836,4.38,2
line2-15,5.540437872,7.07,2
line2-16,0.009820417,33.72,2
line2-2,2.828427125,5.57,2
line2-3,2.445280555,4.08,2
line2-4,4.823231311,2.32,2
line2-5,0.002387969,35.68,2
line2-6,6.062866266,4.6,2
line2-7,5.938094283,3.89,2
line2-9,4.469148552,3.65,2
line4-14,0.188155843,20.79,4
line4-15,8.938297105,4.42,4
line4-3,6.680703355,3.85,4
line4-7,9.447941291,0,4
line4-9,6.190259974,3.43,4
M82mix.1,1,14,M82
M82mix.2,1,14,M82
M82mix.3,1,14,M82
tiemix.1,0.002387969,35.58625,tie1
tiemix.2,0.001244688,35.58625,tie1
tiemix.3,0.005758864,35.58625,tie1
